"","user_id","username","clinefinder"
"1",1,"bsteves","CF 0005"
"2",25,"DennisIsaacson",""
"3",23,"richm",""
"4",24,"kimbrun",NA
"5",27,"bdfjka",NA
"6",28,"peteschay",NA
"7",36,"rogeredwards","00100"
"8",16,"angelastrecker",NA
"9",37,"dmafera","CF0024"
"10",7,"bsteves2","CL001"
"11",40,"trupers@onlinemac.com","0013"
"12",26,"vhoward",""
"13",42,"DIsaacson","CF0009"
"14",43,"SteveWille","CF0016"
"15",44,"LarryBlumenstein","Using my Cline Finder"
"16",38,"Stan.Geiger","CF0014"
"17",45,"briita","CF0008"
