"","site_id","user_id","lake_id","site_name","site_lat","site_lon","username","clinefinder","lake_name","county","latitude","longitude","reachcode","sampling_id","sampling_date","secchi","temperature","substrate","trap","rake","zigzag","notes.x","phyiscal_datum_id","sampling_type","depth","value","notes.y"
"1",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,74,2013-09-19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Clumps of algae floating throughout water column",286,"Temperature",0.1,20.3,"11:00 am Reservoir has dropped significantly"
"2",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,74,2013-09-19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Clumps of algae floating throughout water column",287,"Temperature",1,20.2,""
"3",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,74,2013-09-19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Clumps of algae floating throughout water column",288,"Temperature",2,20.2,""
"4",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,74,2013-09-19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Clumps of algae floating throughout water column",289,"Temperature",3,20.2,"11:20 am"
"5",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,70,2013-07-13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Lake crowded, could not access deeper part of the lake in the canoe due to boat traffic. Lake water clear.",267,"Temperature",0.1,23.8,"11:00 am"
"6",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,70,2013-07-13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Lake crowded, could not access deeper part of the lake in the canoe due to boat traffic. Lake water clear.",268,"Temperature",1,23.7,""
"7",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,70,2013-07-13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Lake crowded, could not access deeper part of the lake in the canoe due to boat traffic. Lake water clear.",269,"Temperature",2,23.5,""
"8",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,70,2013-07-13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Lake crowded, could not access deeper part of the lake in the canoe due to boat traffic. Lake water clear.",270,"Temperature",3,23.1,""
"9",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,70,2013-07-13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Lake crowded, could not access deeper part of the lake in the canoe due to boat traffic. Lake water clear.",271,"Temperature",4,22.4,""
"10",50,37,40,"Social Security Beach",44.12466,-120.696,"dmafera","CF0024","Prineville Reservoir","Crook",44.12603,-120.714,17070304003596,70,2013-07-13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Lake crowded, could not access deeper part of the lake in the canoe due to boat traffic. Lake water clear.",272,"Temperature",5,18.1,""
